"predicate_id","predicate_kind","observation_text","predicate_classes","side_binding","condition_selectors","condition_candidate_ids","condition_candidate_keys","contradiction_condition_ids","contradiction_condition_keys","freshness_condition_ids","freshness_condition_keys","evaluation_contract","observability","implementation_status","base_edge_ids","status"
"OPR-071","OBSERVATION","absorption／price halt","ABSORPTION_STATE","DYNAMIC_FROM_PATTERN_CONTEXT","SIDE_RESOLVED","CD-G16-001 CD-G16-002 CD-G09-026 CD-G09-030","bid_absorption_like_active ask_absorption_like_active buy_no_progress_ratio_1s sell_no_progress_ratio_1s","CD-G16-037 CD-G16-038","bid_passive_defense_failed ask_passive_defense_failed","CD-G01-005 CD-G01-009 CD-G01-011 CD-G01-019 CD-G01-021 CD-G01-027 CD-G01-001 CD-G01-002 CD-G01-004 CD-G01-020","trade_event_fresh exchange_clock_aligned event_order_monotonic persistence_confirmed cross_source_time_aligned window_complete depth_book_synced depth_sequence_contiguous depth_event_fresh market_state_atomic","ALL predicate classes true using fresh evidence strictly after prior transition","HYBRID","COMPOSITE_CONDITION_AVAILABLE","PAT-EXH-LIQUIDATION-CASCADE-END-001::E05","UNVALIDATED"
"OPR-072","OBSERVATION","multiple buy imbalances","FOOTPRINT_IMBALANCE","EXPLICIT_BUY_OR_BID_COMPONENT","SIDE_RESOLVED","CD-G10-022 CD-G10-026 CD-G10-030 CD-G10-034","positive_imbalance_count_5s negative_imbalance_count_5s stacked_buy_imbalance_depth_5s stacked_sell_imbalance_depth_5s","CD-G10-022 CD-G10-026","positive_imbalance_count_5s negative_imbalance_count_5s","CD-G01-005 CD-G01-009 CD-G01-011 CD-G01-019 CD-G01-021 CD-G01-027","trade_event_fresh exchange_clock_aligned event_order_monotonic persistence_confirmed cross_source_time_aligned window_complete","ALL predicate classes true using fresh evidence strictly after prior transition","DIRECT","DERIVED_EVALUATOR_REQUIRED","PAT-STACK-BUY-SUPPORT-RETEST-001::E01","UNVALIDATED"
"OPR-073","OBSERVATION","initial imbalance zone形成","FOOTPRINT_IMBALANCE","OBSERVED_INITIATOR_SIDE","SIDE_RESOLVED","CD-G10-022 CD-G10-026 CD-G10-030 CD-G10-034","positive_imbalance_count_5s negative_imbalance_count_5s stacked_buy_imbalance_depth_5s stacked_sell_imbalance_depth_5s","CD-G10-022 CD-G10-026","positive_imbalance_count_5s negative_imbalance_count_5s","CD-G01-005 CD-G01-009 CD-G01-011 CD-G01-019 CD-G01-021 CD-G01-027","trade_event_fresh exchange_clock_aligned event_order_monotonic persistence_confirmed cross_source_time_aligned window_complete","ALL predicate classes true using fresh evidence strictly after prior transition","DIRECT","DERIVED_EVALUATOR_REQUIRED","PAT-STACK-BUY-SUPPORT-RETEST-001::E02 PAT-STACK-SELL-RESIST-RETEST-001::E02","UNVALIDATED"
"OPR-074","OBSERVATION","pullback","LIQUIDITY_PULL PULLBACK_STATE","DYNAMIC_FROM_PATTERN_CONTEXT","SIDE_RESOLVED TERMINAL_SIDE_RESOLVED","CD-G07-014 CD-G07-023 CD-G07-038 CD-G07-047 CD-G16-027 CD-G16-028 CD-G16-029 CD-G16-030","bid_pull_ratio_1s bid_depth_change_1s ask_pull_ratio_1s ask_depth_change_1s bullish_pullback_low_participation bearish_pullback_low_participation bullish_pullback_stall bearish_pullback_stall","CD-G07-017 CD-G07-041 CD-G16-031 CD-G16-032","bid_stack_ratio_1s ask_stack_ratio_1s buy_momentum_accelerating sell_momentum_accelerating","CD-G01-001 CD-G01-002 CD-G01-004 CD-G01-009 CD-G01-011 CD-G01-019 CD-G01-020 CD-G01-021 CD-G01-027 CD-G01-005","depth_book_synced depth_sequence_contiguous depth_event_fresh exchange_clock_aligned event_order_monotonic persistence_confirmed market_state_atomic cross_source_time_aligned window_complete trade_event_fresh","ALL predicate classes true using fresh evidence strictly after prior transition","DIRECT HYBRID","COMPOSITE_CONDITION_AVAILABLE DERIVED_EVALUATOR_REQUIRED","PAT-STACK-BUY-SUPPORT-RETEST-001::E03 PAT-STACK-PULLBACK-HOLD-REACCEL-001::E02","UNVALIDATED"
"OPR-075","OBSERVATION","zone下抜け失敗","BREAK_ATTEMPT BREAKOUT_FAILURE","DYNAMIC_FROM_PATTERN_CONTEXT","SIDE_RESOLVED","CD-G16-019 CD-G16-020 CD-G09-002 CD-G09-006 CD-G16-023 CD-G16-024 CD-G09-034 CD-G09-038","upside_breakout_attempt downside_breakout_attempt upward_progress_ticks_1s downward_progress_ticks_1s upside_breakout_failure downside_breakout_failure reversion_from_window_high_1s reversion_from_window_low_1s","CD-G16-023 CD-G16-024 CD-G16-021 CD-G16-022","upside_breakout_failure downside_breakout_failure upside_breakout_follow_through downside_breakout_follow_through","CD-G01-005 CD-G01-009 CD-G01-011 CD-G01-019 CD-G01-021 CD-G01-027 CD-G01-001 CD-G01-002 CD-G01-004 CD-G01-020","trade_event_fresh exchange_clock_aligned event_order_monotonic persistence_confirmed cross_source_time_aligned window_complete depth_book_synced depth_sequence_contiguous depth_event_fresh market_state_atomic","ALL predicate classes true using fresh evidence strictly after prior transition","HYBRID","COMPOSITE_CONDITION_AVAILABLE","PAT-STACK-BUY-SUPPORT-RETEST-001::E04","UNVALIDATED"
"OPR-076","OBSERVATION","buy aggression再開","TAPE_AGGRESSION","EXPLICIT_BUY_OR_BID_COMPONENT","SIDE_RESOLVED","CD-G08-002 CD-G08-014 CD-G08-017 CD-G08-023 CD-G08-026 CD-G08-038 CD-G08-041 CD-G08-047 CD-G10-002","buy_market_volume_1s buy_large_trade_count_1s buy_trade_rate_1s buy_side_share_1s sell_market_volume_1s sell_large_trade_count_1s sell_trade_rate_1s sell_side_share_1s trade_delta_5s","CD-G16-007 CD-G16-008","buyer_fade_active seller_fade_active","CD-G01-005 CD-G01-009 CD-G01-011 CD-G01-019 CD-G01-021 CD-G01-027","trade_event_fresh exchange_clock_aligned event_order_monotonic persistence_confirmed cross_source_time_aligned window_complete","ALL predicate classes true using fresh evidence strictly after prior transition","DIRECT","DERIVED_EVALUATOR_REQUIRED","PAT-STACK-BUY-SUPPORT-RETEST-001::E05","UNVALIDATED"
"OPR-077","OBSERVATION","multiple sell imbalances","FOOTPRINT_IMBALANCE","EXPLICIT_SELL_OR_ASK_COMPONENT","SIDE_RESOLVED","CD-G10-022 CD-G10-026 CD-G10-030 CD-G10-034","positive_imbalance_count_5s negative_imbalance_count_5s stacked_buy_imbalance_depth_5s stacked_sell_imbalance_depth_5s","CD-G10-022 CD-G10-026","positive_imbalance_count_5s negative_imbalance_count_5s","CD-G01-005 CD-G01-009 CD-G01-011 CD-G01-019 CD-G01-021 CD-G01-027","trade_event_fresh exchange_clock_aligned event_order_monotonic persistence_confirmed cross_source_time_aligned window_complete","ALL predicate classes true using fresh evidence strictly after prior transition","DIRECT","DERIVED_EVALUATOR_REQUIRED","PAT-STACK-SELL-RESIST-RETEST-001::E01","UNVALIDATED"
"OPR-078","OBSERVATION","rebound","RECLAIM_RETURN","DYNAMIC_FROM_PATTERN_CONTEXT","SIDE_RESOLVED","CD-G16-025 CD-G16-026 CD-G09-034 CD-G09-038","reclaim_above_reference reclaim_below_reference reversion_from_window_high_1s reversion_from_window_low_1s","CD-G16-017 CD-G16-018","acceptance_above_reference acceptance_below_reference","CD-G01-005 CD-G01-009 CD-G01-011 CD-G01-019 CD-G01-021 CD-G01-027","trade_event_fresh exchange_clock_aligned event_order_monotonic persistence_confirmed cross_source_time_aligned window_complete","ALL predicate classes true using fresh evidence strictly after prior transition","HYBRID","COMPOSITE_CONDITION_AVAILABLE","PAT-STACK-SELL-RESIST-RETEST-001::E03","UNVALIDATED"
"OPR-079","OBSERVATION","zone上抜け失敗","BREAK_ATTEMPT BREAKOUT_FAILURE","DYNAMIC_FROM_PATTERN_CONTEXT","SIDE_RESOLVED","CD-G16-019 CD-G16-020 CD-G09-002 CD-G09-006 CD-G16-023 CD-G16-024 CD-G09-034 CD-G09-038","upside_breakout_attempt downside_breakout_attempt upward_progress_ticks_1s downward_progress_ticks_1s upside_breakout_failure downside_breakout_failure reversion_from_window_high_1s reversion_from_window_low_1s","CD-G16-023 CD-G16-024 CD-G16-021 CD-G16-022","upside_breakout_failure downside_breakout_failure upside_breakout_follow_through downside_breakout_follow_through","CD-G01-005 CD-G01-009 CD-G01-011 CD-G01-019 CD-G01-021 CD-G01-027 CD-G01-001 CD-G01-002 CD-G01-004 CD-G01-020","trade_event_fresh exchange_clock_aligned event_order_monotonic persistence_confirmed cross_source_time_aligned window_complete depth_book_synced depth_sequence_contiguous depth_event_fresh market_state_atomic","ALL predicate classes true using fresh evidence strictly after prior transition","HYBRID","COMPOSITE_CONDITION_AVAILABLE","PAT-STACK-SELL-RESIST-RETEST-001::E04","UNVALIDATED"
"OPR-080","OBSERVATION","sell aggression再開","TAPE_AGGRESSION","EXPLICIT_SELL_OR_ASK_COMPONENT","SIDE_RESOLVED","CD-G08-002 CD-G08-014 CD-G08-017 CD-G08-023 CD-G08-026 CD-G08-038 CD-G08-041 CD-G08-047 CD-G10-002","buy_market_volume_1s buy_large_trade_count_1s buy_trade_rate_1s buy_side_share_1s sell_market_volume_1s sell_large_trade_count_1s sell_trade_rate_1s sell_side_share_1s trade_delta_5s","CD-G16-007 CD-G16-008","buyer_fade_active seller_fade_active","CD-G01-005 CD-G01-009 CD-G01-011 CD-G01-019 CD-G01-021 CD-G01-027","trade_event_fresh exchange_clock_aligned event_order_monotonic persistence_confirmed cross_source_time_aligned window_complete","ALL predicate classes true using fresh evidence strictly after prior transition","DIRECT","DERIVED_EVALUATOR_REQUIRED","PAT-STACK-SELL-RESIST-RETEST-001::E05","UNVALIDATED"
"OPR-081","OBSERVATION","range継続","BALANCE_CONTEXT PRICE_PROGRESS","DYNAMIC_FROM_PATTERN_CONTEXT","SIDE_RESOLVED SYMMETRIC","CD-G02-017 CD-G02-018 CD-G11-013 CD-G11-014 CD-G09-002 CD-G09-006 CD-G09-018 CD-G09-022 CD-G16-021 CD-G16-022","balance_regime compression_regime profile_balance_score_session profile_balance_score_rolling_1h upward_progress_ticks_1s downward_progress_ticks_1s buy_efficiency_1s sell_efficiency_1s upside_breakout_follow_through downside_breakout_follow_through","CD-G02-019 CD-G09-026 CD-G09-030","expansion_regime buy_no_progress_ratio_1s sell_no_progress_ratio_1s","CD-G01-005 CD-G01-009 CD-G01-011 CD-G01-019 CD-G01-021 CD-G01-027","trade_event_fresh exchange_clock_aligned event_order_monotonic persistence_confirmed cross_source_time_aligned window_complete","ALL predicate classes true using fresh evidence strictly after prior transition","DIRECT","DERIVED_EVALUATOR_REQUIRED","PAT-STACK-RANGE-POC-SHIFT-001::E01","UNVALIDATED"
"OPR-082","OBSERVATION","boundary側stacked imbalance","FOOTPRINT_IMBALANCE LIQUIDITY_STACK_REBUILD LOCATION_CONTEXT","DYNAMIC_FROM_PATTERN_CONTEXT","SIDE_RESOLVED VARIANT_LOCATION","CD-G10-022 CD-G10-026 CD-G10-030 CD-G10-034 CD-G07-008 CD-G07-011 CD-G07-017 CD-G07-032 CD-G07-035 CD-G07-041","positive_imbalance_count_5s negative_imbalance_count_5s stacked_buy_imbalance_depth_5s stacked_sell_imbalance_depth_5s bid_net_flow_1s bid_refresh_count_1s bid_stack_ratio_1s ask_net_flow_1s ask_refresh_count_1s ask_stack_ratio_1s","CD-G10-022 CD-G10-026 CD-G07-014 CD-G07-038","positive_imbalance_count_5s negative_imbalance_count_5s bid_pull_ratio_1s ask_pull_ratio_1s","CD-G01-005 CD-G01-009 CD-G01-011 CD-G01-019 CD-G01-021 CD-G01-027 CD-G01-001 CD-G01-002 CD-G01-004 CD-G01-020","trade_event_fresh exchange_clock_aligned event_order_monotonic persistence_confirmed cross_source_time_aligned window_complete depth_book_synced depth_sequence_contiguous depth_event_fresh market_state_atomic","ALL predicate classes true using fresh evidence strictly after prior transition","DIRECT","DERIVED_EVALUATOR_REQUIRED VARIANT_LOCATION_SELECTOR","PAT-STACK-RANGE-POC-SHIFT-001::E02","UNVALIDATED"
"OPR-083","OBSERVATION","delta同方向","DELTA_STATE","TERMINAL_SIDE","SIDE_RESOLVED","CD-G10-001 CD-G10-002 CD-G10-005 CD-G10-006 CD-G10-009 CD-G10-010","trade_delta_1s trade_delta_5s cvd_change_1s cvd_change_5s cvd_slope_1s cvd_slope_5s","CD-G10-001 CD-G10-002","trade_delta_1s trade_delta_5s","CD-G01-005 CD-G01-009 CD-G01-011 CD-G01-019 CD-G01-021 CD-G01-027","trade_event_fresh exchange_clock_aligned event_order_monotonic persistence_confirmed cross_source_time_aligned window_complete","ALL predicate classes true using fresh evidence strictly after prior transition","DIRECT","DERIVED_EVALUATOR_REQUIRED","PAT-STACK-RANGE-POC-SHIFT-001::E03","UNVALIDATED"
"OPR-084","OBSERVATION","maximum-volume level同方向shift","PROFILE_AUCTION TAPE_PARTICIPATION","TERMINAL_SIDE","REFERENCE_SIDE_RESOLVED SIDE_RESOLVED","CD-G11-001 CD-G11-007 CD-G11-009 CD-G11-017 CD-G11-019 CD-G11-029 CD-G11-031 CD-G04-015 CD-G08-002 CD-G08-005 CD-G08-026 CD-G08-029","point_of_control_distance_session high_volume_node_distance_session low_volume_node_distance_session poc_migration_session value_area_migration_session acceptance_above_value_session acceptance_below_value_session trade_rate_percentile_1m buy_market_volume_1s buy_trade_count_1s sell_market_volume_1s sell_trade_count_1s","CD-G11-017 CD-G11-019 CD-G04-015","poc_migration_session value_area_migration_session trade_rate_percentile_1m","CD-G01-005 CD-G01-009 CD-G01-011 CD-G01-027 CD-G01-028 CD-G01-019 CD-G01-021","trade_event_fresh exchange_clock_aligned event_order_monotonic window_complete baseline_sample_sufficient persistence_confirmed cross_source_time_aligned","ALL predicate classes true using fresh evidence strictly after prior transition","DERIVED DIRECT","DERIVED_EVALUATOR_REQUIRED","PAT-STACK-RANGE-POC-SHIFT-001::E04","UNVALIDATED"
"OPR-085","OBSERVATION","trend imbalance","FOOTPRINT_IMBALANCE","DYNAMIC_FROM_PATTERN_CONTEXT","SIDE_RESOLVED","CD-G10-022 CD-G10-026 CD-G10-030 CD-G10-034","positive_imbalance_count_5s negative_imbalance_count_5s stacked_buy_imbalance_depth_5s stacked_sell_imbalance_depth_5s","CD-G10-022 CD-G10-026","positive_imbalance_count_5s negative_imbalance_count_5s","CD-G01-005 CD-G01-009 CD-G01-011 CD-G01-019 CD-G01-021 CD-G01-027","trade_event_fresh exchange_clock_aligned event_order_monotonic persistence_confirmed cross_source_time_aligned window_complete","ALL predicate classes true using fresh evidence strictly after prior transition","DIRECT","DERIVED_EVALUATOR_REQUIRED","PAT-STACK-PULLBACK-HOLD-REACCEL-001::E01","UNVALIDATED"
"OPR-086","OBSERVATION","initial stack zoneでprice停止","LIQUIDITY_STACK_REBUILD PRICE_STALL","OBSERVED_INITIATOR_SIDE","SIDE_RESOLVED","CD-G07-008 CD-G07-011 CD-G07-017 CD-G07-032 CD-G07-035 CD-G07-041 CD-G09-026 CD-G09-030 CD-G16-033 CD-G16-034","bid_net_flow_1s bid_refresh_count_1s bid_stack_ratio_1s ask_net_flow_1s ask_refresh_count_1s ask_stack_ratio_1s buy_no_progress_ratio_1s sell_no_progress_ratio_1s buy_momentum_fading sell_momentum_fading","CD-G07-014 CD-G07-038 CD-G09-002 CD-G09-006","bid_pull_ratio_1s ask_pull_ratio_1s upward_progress_ticks_1s downward_progress_ticks_1s","CD-G01-001 CD-G01-002 CD-G01-004 CD-G01-009 CD-G01-011 CD-G01-019 CD-G01-020 CD-G01-021 CD-G01-027 CD-G01-005","depth_book_synced depth_sequence_contiguous depth_event_fresh exchange_clock_aligned event_order_monotonic persistence_confirmed market_state_atomic cross_source_time_aligned window_complete trade_event_fresh","ALL predicate classes true using fresh evidence strictly after prior transition","DIRECT HYBRID","DERIVED_EVALUATOR_REQUIRED","PAT-STACK-PULLBACK-HOLD-REACCEL-001::E03","UNVALIDATED"
"OPR-087","OBSERVATION","opposite imbalance欠如","FOOTPRINT_IMBALANCE","TERMINAL_SIDE","SIDE_RESOLVED","CD-G10-022 CD-G10-026 CD-G10-030 CD-G10-034","positive_imbalance_count_5s negative_imbalance_count_5s stacked_buy_imbalance_depth_5s stacked_sell_imbalance_depth_5s","CD-G10-022 CD-G10-026","positive_imbalance_count_5s negative_imbalance_count_5s","CD-G01-005 CD-G01-009 CD-G01-011 CD-G01-019 CD-G01-021 CD-G01-027","trade_event_fresh exchange_clock_aligned event_order_monotonic persistence_confirmed cross_source_time_aligned window_complete","ALL predicate classes true using fresh evidence strictly after prior transition","DIRECT","DERIVED_EVALUATOR_REQUIRED","PAT-STACK-PULLBACK-HOLD-REACCEL-001::E04","UNVALIDATED"
"OPR-088","OBSERVATION","same-side stack再出現","FOOTPRINT_IMBALANCE LIQUIDITY_STACK_REBUILD","TERMINAL_SIDE","SIDE_RESOLVED","CD-G10-022 CD-G10-026 CD-G10-030 CD-G10-034 CD-G07-008 CD-G07-011 CD-G07-017 CD-G07-032 CD-G07-035 CD-G07-041","positive_imbalance_count_5s negative_imbalance_count_5s stacked_buy_imbalance_depth_5s stacked_sell_imbalance_depth_5s bid_net_flow_1s bid_refresh_count_1s bid_stack_ratio_1s ask_net_flow_1s ask_refresh_count_1s ask_stack_ratio_1s","CD-G10-022 CD-G10-026 CD-G07-014 CD-G07-038","positive_imbalance_count_5s negative_imbalance_count_5s bid_pull_ratio_1s ask_pull_ratio_1s","CD-G01-005 CD-G01-009 CD-G01-011 CD-G01-019 CD-G01-021 CD-G01-027 CD-G01-001 CD-G01-002 CD-G01-004 CD-G01-020","trade_event_fresh exchange_clock_aligned event_order_monotonic persistence_confirmed cross_source_time_aligned window_complete depth_book_synced depth_sequence_contiguous depth_event_fresh market_state_atomic","ALL predicate classes true using fresh evidence strictly after prior transition","DIRECT","DERIVED_EVALUATOR_REQUIRED","PAT-STACK-PULLBACK-HOLD-REACCEL-001::E05","UNVALIDATED"
"OPR-089","OBSERVATION","stacked imbalance","FOOTPRINT_IMBALANCE LIQUIDITY_STACK_REBUILD","DYNAMIC_FROM_PATTERN_CONTEXT","SIDE_RESOLVED","CD-G10-022 CD-G10-026 CD-G10-030 CD-G10-034 CD-G07-008 CD-G07-011 CD-G07-017 CD-G07-032 CD-G07-035 CD-G07-041","positive_imbalance_count_5s negative_imbalance_count_5s stacked_buy_imbalance_depth_5s stacked_sell_imbalance_depth_5s bid_net_flow_1s bid_refresh_count_1s bid_stack_ratio_1s ask_net_flow_1s ask_refresh_count_1s ask_stack_ratio_1s","CD-G10-022 CD-G10-026 CD-G07-014 CD-G07-038","positive_imbalance_count_5s negative_imbalance_count_5s bid_pull_ratio_1s ask_pull_ratio_1s","CD-G01-005 CD-G01-009 CD-G01-011 CD-G01-019 CD-G01-021 CD-G01-027 CD-G01-001 CD-G01-002 CD-G01-004 CD-G01-020","trade_event_fresh exchange_clock_aligned event_order_monotonic persistence_confirmed cross_source_time_aligned window_complete depth_book_synced depth_sequence_contiguous depth_event_fresh market_state_atomic","ALL predicate classes true using fresh evidence strictly after prior transition","DIRECT","DERIVED_EVALUATOR_REQUIRED","PAT-STACK-PERSISTENCE-PROGRESS-001::E01","UNVALIDATED"
"OPR-090","OBSERVATION","次の観察単位にも同方向imbalance","FOOTPRINT_IMBALANCE TEMPORAL_SEQUENCE","TERMINAL_SIDE","ENGINE_TIME SIDE_RESOLVED","CD-G10-022 CD-G10-026 CD-G10-030 CD-G10-034","positive_imbalance_count_5s negative_imbalance_count_5s stacked_buy_imbalance_depth_5s stacked_sell_imbalance_depth_5s","CD-G10-022 CD-G10-026","positive_imbalance_count_5s negative_imbalance_count_5s","CD-G01-005 CD-G01-009 CD-G01-011 CD-G01-019 CD-G01-021 CD-G01-027 CD-G01-010 CD-G01-016","trade_event_fresh exchange_clock_aligned event_order_monotonic persistence_confirmed cross_source_time_aligned window_complete receive_clock_monotonic duplicate_event_absent","ALL predicate classes true using fresh evidence strictly after prior transition","DIRECT","DERIVED_EVALUATOR_REQUIRED ENGINE_NATIVE","PAT-STACK-PERSISTENCE-PROGRESS-001::E02","UNVALIDATED"
"OPR-091","OBSERVATION","priceが逆行せず進展","PRICE_PROGRESS","DYNAMIC_FROM_PATTERN_CONTEXT","SIDE_RESOLVED","CD-G09-002 CD-G09-006 CD-G09-018 CD-G09-022 CD-G16-021 CD-G16-022","upward_progress_ticks_1s downward_progress_ticks_1s buy_efficiency_1s sell_efficiency_1s upside_breakout_follow_through downside_breakout_follow_through","CD-G09-026 CD-G09-030","buy_no_progress_ratio_1s sell_no_progress_ratio_1s","CD-G01-005 CD-G01-009 CD-G01-011 CD-G01-019 CD-G01-021 CD-G01-027","trade_event_fresh exchange_clock_aligned event_order_monotonic persistence_confirmed cross_source_time_aligned window_complete","ALL predicate classes true using fresh evidence strictly after prior transition","DIRECT","DERIVED_EVALUATOR_REQUIRED","PAT-STACK-PERSISTENCE-PROGRESS-001::E03","UNVALIDATED"
"OPR-092","OBSERVATION","supporting zone切上げ／切下げ","PRICE_STRUCTURE","DYNAMIC_FROM_PATTERN_CONTEXT","SIDE_RESOLVED","CD-G03-021 CD-G03-023 CD-G03-025 CD-G03-027 CD-G09-002 CD-G09-006","distance_to_rolling_1m_high distance_to_rolling_1m_low distance_to_rolling_5m_high distance_to_rolling_5m_low upward_progress_ticks_1s downward_progress_ticks_1s","CD-G16-023 CD-G16-024","upside_breakout_failure downside_breakout_failure","CD-G01-005 CD-G01-009 CD-G01-011 CD-G01-019 CD-G01-021 CD-G01-027","trade_event_fresh exchange_clock_aligned event_order_monotonic persistence_confirmed cross_source_time_aligned window_complete","ALL predicate classes true using fresh evidence strictly after prior transition","DERIVED","DERIVED_EVALUATOR_REQUIRED","PAT-STACK-PERSISTENCE-PROGRESS-001::E04","UNVALIDATED"
"OPR-093","OBSERVATION","aggression維持","TAPE_AGGRESSION","DYNAMIC_FROM_PATTERN_CONTEXT","SIDE_RESOLVED","CD-G08-002 CD-G08-014 CD-G08-017 CD-G08-023 CD-G08-026 CD-G08-038 CD-G08-041 CD-G08-047 CD-G10-002","buy_market_volume_1s buy_large_trade_count_1s buy_trade_rate_1s buy_side_share_1s sell_market_volume_1s sell_large_trade_count_1s sell_trade_rate_1s sell_side_share_1s trade_delta_5s","CD-G16-007 CD-G16-008","buyer_fade_active seller_fade_active","CD-G01-005 CD-G01-009 CD-G01-011 CD-G01-019 CD-G01-021 CD-G01-027","trade_event_fresh exchange_clock_aligned event_order_monotonic persistence_confirmed cross_source_time_aligned window_complete","ALL predicate classes true using fresh evidence strictly after prior transition","DIRECT","DERIVED_EVALUATOR_REQUIRED","PAT-STACK-PERSISTENCE-PROGRESS-001::E05","UNVALIDATED"
"OPR-094","OBSERVATION","same priceで大量execution","ICEBERG_REFILL","DYNAMIC_FROM_PATTERN_CONTEXT","SIDE_RESOLVED","CD-G07-011 CD-G07-020 CD-G07-035 CD-G07-044 CD-G09-026 CD-G09-030","bid_refresh_count_1s bid_level_turnover_1s ask_refresh_count_1s ask_level_turnover_1s buy_no_progress_ratio_1s sell_no_progress_ratio_1s","CD-G16-037 CD-G16-038","bid_passive_defense_failed ask_passive_defense_failed","CD-G01-005 CD-G01-009 CD-G01-011 CD-G01-019 CD-G01-021 CD-G01-027 CD-G01-001 CD-G01-002 CD-G01-004 CD-G01-020","trade_event_fresh exchange_clock_aligned event_order_monotonic persistence_confirmed cross_source_time_aligned window_complete depth_book_synced depth_sequence_contiguous depth_event_fresh market_state_atomic","ALL predicate classes true using fresh evidence strictly after prior transition","INFERRED","INFERRED_MBP_REQUIRED","PAT-ICE-BARRIER-DEPLETE-BREAK-001::E01","UNVALIDATED"
"OPR-095","OBSERVATION","visible size以上のrefill推定","ICEBERG_REFILL","DYNAMIC_FROM_PATTERN_CONTEXT","SIDE_RESOLVED","CD-G07-011 CD-G07-020 CD-G07-035 CD-G07-044 CD-G09-026 CD-G09-030","bid_refresh_count_1s bid_level_turnover_1s ask_refresh_count_1s ask_level_turnover_1s buy_no_progress_ratio_1s sell_no_progress_ratio_1s","CD-G16-037 CD-G16-038","bid_passive_defense_failed ask_passive_defense_failed","CD-G01-005 CD-G01-009 CD-G01-011 CD-G01-019 CD-G01-021 CD-G01-027 CD-G01-001 CD-G01-002 CD-G01-004 CD-G01-020","trade_event_fresh exchange_clock_aligned event_order_monotonic persistence_confirmed cross_source_time_aligned window_complete depth_book_synced depth_sequence_contiguous depth_event_fresh market_state_atomic","ALL predicate classes true using fresh evidence strictly after prior transition","INFERRED","INFERRED_MBP_REQUIRED","PAT-ICE-BARRIER-DEPLETE-BREAK-001::E02","UNVALIDATED"
"OPR-096","OBSERVATION","price barrier保持","LOCATION_CONTEXT PRICE_ACCEPTANCE","DYNAMIC_FROM_PATTERN_CONTEXT","SIDE_RESOLVED VARIANT_LOCATION","CD-G16-017 CD-G16-018 CD-G11-029 CD-G11-031","acceptance_above_reference acceptance_below_reference acceptance_above_value_session acceptance_below_value_session","CD-G16-023 CD-G16-024","upside_breakout_failure downside_breakout_failure","CD-G01-005 CD-G01-009 CD-G01-011 CD-G01-019 CD-G01-021 CD-G01-027 CD-G01-001 CD-G01-002 CD-G01-004 CD-G01-020","trade_event_fresh exchange_clock_aligned event_order_monotonic persistence_confirmed cross_source_time_aligned window_complete depth_book_synced depth_sequence_contiguous depth_event_fresh market_state_atomic","ALL predicate classes true using fresh evidence strictly after prior transition","DIRECT HYBRID","COMPOSITE_CONDITION_AVAILABLE VARIANT_LOCATION_SELECTOR","PAT-ICE-BARRIER-DEPLETE-BREAK-001::E03","UNVALIDATED"
"OPR-097","OBSERVATION","refill速度低下／消失","ICEBERG_REFILL","DYNAMIC_FROM_PATTERN_CONTEXT","SIDE_RESOLVED","CD-G07-011 CD-G07-020 CD-G07-035 CD-G07-044 CD-G09-026 CD-G09-030","bid_refresh_count_1s bid_level_turnover_1s ask_refresh_count_1s ask_level_turnover_1s buy_no_progress_ratio_1s sell_no_progress_ratio_1s","CD-G16-037 CD-G16-038","bid_passive_defense_failed ask_passive_defense_failed","CD-G01-005 CD-G01-009 CD-G01-011 CD-G01-019 CD-G01-021 CD-G01-027 CD-G01-001 CD-G01-002 CD-G01-004 CD-G01-020","trade_event_fresh exchange_clock_aligned event_order_monotonic persistence_confirmed cross_source_time_aligned window_complete depth_book_synced depth_sequence_contiguous depth_event_fresh market_state_atomic","ALL predicate classes true using fresh evidence strictly after prior transition","INFERRED","INFERRED_MBP_REQUIRED","PAT-ICE-BARRIER-DEPLETE-BREAK-001::E04","UNVALIDATED"
"OPR-098","OBSERVATION","barrier突破","BREAK_ATTEMPT","DYNAMIC_FROM_PATTERN_CONTEXT","SIDE_RESOLVED","CD-G16-019 CD-G16-020 CD-G09-002 CD-G09-006","upside_breakout_attempt downside_breakout_attempt upward_progress_ticks_1s downward_progress_ticks_1s","CD-G16-023 CD-G16-024","upside_breakout_failure downside_breakout_failure","CD-G01-005 CD-G01-009 CD-G01-011 CD-G01-019 CD-G01-021 CD-G01-027 CD-G01-001 CD-G01-002 CD-G01-004 CD-G01-020","trade_event_fresh exchange_clock_aligned event_order_monotonic persistence_confirmed cross_source_time_aligned window_complete depth_book_synced depth_sequence_contiguous depth_event_fresh market_state_atomic","ALL predicate classes true using fresh evidence strictly after prior transition","HYBRID","COMPOSITE_CONDITION_AVAILABLE","PAT-ICE-BARRIER-DEPLETE-BREAK-001::E05","UNVALIDATED"
